Timestamp,University,Gender,Current academic year,G.P.A value,sports,Number of practice days per week 
2018/05/23 3:22:56 PM GMT+5:30,University of Colombo,Male,2nd year,2.6,Yes,more than 3 days
2018/05/23 3:59:27 PM GMT+5:30,University of Colombo,Female,3rd year,no GPA,No,
2018/05/23 4:58:58 PM GMT+5:30,University of Colombo,Female,Graduated,3.28,Yes,2 days
2018/05/23 5:01:31 PM GMT+5:30,University of Colombo,Female,2nd year,3.09,Yes,more than 3 days
2018/05/23 5:05:03 PM GMT+5:30,University of Peradeniya,Female,3rd year,3.32,No,
2018/05/23 5:20:48 PM GMT+5:30,University of Peradeniya,Male,3rd year,3.2134,Yes,1 day
2018/05/23 5:21:57 PM GMT+5:30,University of Peradeniya,Male,3rd year,3.01,No,
2018/05/23 5:22:02 PM GMT+5:30,University of Peradeniya,Male,3rd year,3.2134,Yes,1 day
2018/05/23 5:28:56 PM GMT+5:30,University of Peradeniya,Male,3rd year,2.55,Yes,1 day
2018/05/23 5:31:30 PM GMT+5:30,University of Peradeniya,Male,3rd year,3.675,No,
2018/05/23 5:37:43 PM GMT+5:30,University of Peradeniya,Female,3rd year,3.125,Yes,3 days
2018/05/23 5:57:48 PM GMT+5:30,University of Peradeniya,Female,3rd year,3,Yes,2 days
2018/05/23 5:58:54 PM GMT+5:30,University of Colombo,Female,4th year,3,No,
2018/05/23 6:43:51 PM GMT+5:30,University of Colombo,Male,2nd year,2.8,No,
2018/05/23 6:44:58 PM GMT+5:30,University of Colombo,Male,2nd year,3,Yes,more than 3 days
2018/05/23 7:10:54 PM GMT+5:30,University of Peradeniya,Male,3rd year,3.34,No,
2018/05/23 7:24:17 PM GMT+5:30,University of Peradeniya,Female,3rd year,2.965,No,
2018/05/23 7:43:52 PM GMT+5:30,University of Peradeniya,Female,3rd year,3.221,Yes,1 day
2018/05/23 7:47:33 PM GMT+5:30,University of Colombo,Female,Graduated,3.8,No,
2018/05/23 8:08:58 PM GMT+5:30,University of Peradeniya,Female,3rd year,3.2,Yes,more than 3 days
2018/05/23 8:12:51 PM GMT+5:30,University of Peradeniya,Female,2nd year,3,Yes,more than 3 days
2018/05/23 8:16:20 PM GMT+5:30,University of Colombo,Male,3rd year,3,Yes,1 day
2018/05/23 8:17:53 PM GMT+5:30,University of Colombo,Female,4th year,3.14,No,
2018/05/23 8:22:42 PM GMT+5:30,University of Peradeniya,Female,3rd year,2.9,No,
2018/05/23 8:25:05 PM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,2.8,Yes,1 day
2018/05/23 8:25:52 PM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,3.1,No,
2018/05/23 8:44:43 PM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,3,Yes,2 days
2018/05/23 9:18:01 PM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,3.6,No,
2018/05/23 9:23:27 PM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,3.3,No,
2018/05/23 10:12:43 PM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,2.2,No,
2018/05/23 10:22:43 PM GMT+5:30,University of Colombo,Female,2nd year,3.5,Yes,2 days
2018/05/23 10:41:40 PM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,2.7,Yes,2 days
2018/05/23 10:49:39 PM GMT+5:30,University of Peradeniya,Male,Graduated,2.8,Yes,more than 3 days
2018/05/23 11:44:52 PM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,2.6,No,
2018/05/24 12:31:01 AM GMT+5:30,University of Colombo,Male,2nd year,2.5,Yes,2 days
2018/05/24 6:32:00 AM GMT+5:30,University of Peradeniya,Female,3rd year,3.34,Yes,3 days
2018/05/24 8:13:58 AM GMT+5:30,University of Peradeniya,Male,Graduated,2.94,Yes,more than 3 days
2018/05/24 8:16:20 AM GMT+5:30,University of Peradeniya,Male,4th year,3.1,Yes,more than 3 days
2018/05/24 2:46:16 PM GMT+5:30,University of Sri Jayawardenapura,Female,Graduated,3.1,No,
2018/05/24 2:47:23 PM GMT+5:30,University of Colombo,Female,Graduated,3.2,No,
2018/05/24 3:20:22 PM GMT+5:30,University of Peradeniya,Female,3rd year,3.5,No,
2018/05/24 3:54:02 PM GMT+5:30,University of Colombo,Male,4th year,3.91,Yes,2 days;3 days
2018/05/24 4:15:15 PM GMT+5:30,University of Moratuwa,Male,Graduated,3.28,No,
2018/05/24 4:18:25 PM GMT+5:30,University of Colombo,Male,Graduated,2.81,Yes,2 days
2018/05/24 6:03:03 PM GMT+5:30,University of Sri Jayawardenapura,Female,4th year,3.6,No,
2018/05/24 6:03:20 PM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,3.2,No,
2018/05/24 6:05:50 PM GMT+5:30,University of Sri Jayawardenapura,Female,Graduated,3.9,No,
2018/05/25 2:30:24 PM GMT+5:30,University of Peradeniya,Female,Graduated,3.67,No,
2018/05/25 11:01:16 PM GMT+5:30,University of Peradeniya,Female,3rd year,2.8,No,
2018/05/26 2:38:44 PM GMT+5:30,University of Moratuwa,Female,3rd year,3.32,No,
2018/05/26 2:51:37 PM GMT+5:30,University of Moratuwa,Female,2nd year,No,Yes,3 days
2018/05/26 3:14:49 PM GMT+5:30,University of Moratuwa,Male,Graduated,3.2,No,
2018/05/26 4:19:17 PM GMT+5:30,University of Moratuwa,Female,Graduated,3.8,No,
2018/05/26 4:48:01 PM GMT+5:30,University of Moratuwa,Male,Graduated,3.51,No,
2018/05/26 6:42:00 PM GMT+5:30,University of Moratuwa,Female,1st year,Not given,No,
2018/05/26 7:17:58 PM GMT+5:30,University of Moratuwa,Male,Graduated,3.35,No,
2018/05/26 8:21:41 PM GMT+5:30,University of Moratuwa,Female,3rd year,3.97,No,
2018/05/26 8:48:56 PM GMT+5:30,University of Moratuwa,Female,4th year,3.05,Yes,2 days
2018/05/26 8:51:27 PM GMT+5:30,University of Moratuwa,Male,4th year,3.63,Yes,3 days
2018/05/26 8:54:16 PM GMT+5:30,University of Moratuwa,Female,4th year,3.59,No,
2018/05/26 9:08:22 PM GMT+5:30,University of Moratuwa,Female,1st year,Not given,No,
2018/05/26 9:13:39 PM GMT+5:30,University of Moratuwa,Female,4th year,4.01,No,
2018/05/26 9:30:40 PM GMT+5:30,University of Moratuwa,Female,1st year,Not given,No,
